county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Contra Costa,CA,0.08669072,0,1465.2
Converse,WY,7.234843004,0,3.3
Conway,AR,4.797083373,0,38.5
Cook,IL,0.019416597,0,5495.1
Cook,GA,5.790387956,0,75.8
Cook,MN,18.30496064,0,3.6
Cooke,TX,2.423831107,0,43.9
Cooper,MO,5.646846236,0,31.2
Coos,NH,3.168266641,0,18.4
Coos,OR,1.550700141,0,39.5
Coosa,AL,18.75644753,0,17.7
Copiah,MS,3.563156957,0,37.9
Corson,SD,24.47381302,0,1.6
Cortland,NY,2.101679242,0,98.9
Coryell,TX,1.316638359,0,71.7
Coshocton,OH,5.464480874,0,65.4
Costilla,CO,25.72678158,0,2.9
Cottle,TX,71.53075823,0,1.7
Cotton,OK,17.64913519,0,9.8
Cottonwood,MN,8.931761343,0,18.3
Covington,AL,5.398256363,0,36.6
Covington,MS,5.36595836,0,47.3
Covington city,VA,18.05706031,0,1090.2
Coweta,GA,1.346719727,0,288.8
Cowley,KS,2.864672854,0,32.3
Cowlitz,WA,1.808432722,0,89.8
Craig,OK,7.071135624,0,19.7
Craig,VA,38.97875658,0,15.7
Craighead,AR,0.906355364,0,136.4
Crane,TX,20.84636231,0,5.6
Craven,NC,0.97905795,0,146
Crawford,AR,1.580852712,0,104.4
Crawford,OH,2.409986986,0,109
Crawford,KS,2.576124478,0,66.4
Crawford,PA,1.181628047,0,87.7
Crawford,MI,7.12809181,0,25.3
Crawford,IN,9.454476695,0,35.1
Crawford,IL,5.357047196,0,44.7
Crawford,IA,5.94530321,0,23.9
Crawford,MO,4.180602007,0,33.3
Crawford,WI,6.199243692,0,29.2
Crawford,GA,8.061915511,0,38.9
Creek,OK,6.99085596,0,73.6
Crenshaw,AL,7.261109498,0,22.8
Crisp,GA,13.40961917,0,86
Crittenden,AR,2.085288291,0,83.5
Crittenden,KY,11.35589371,0,25.9
Crockett,TN,21.08222066,0,54.9
Crockett,TX,28.86836028,0,1.3
Crook,OR,4.097688903,0,7
Crook,WY,13.18565401,0,2.5
Crosby,TX,17.43071292,0,6.7
Cross,AR,6.090504903,0,29
Crow Wing,MN,1.537160864,0,62.6
Crowley,CO,16.49892757,16.49892757,7.4
Cullman,AL,1.193773279,0,109.4
Culpeper,VA,3.80191997,0,123.1
Cumberland,ME,0.338979604,0,337.2
Cumberland,PA,1.184039152,0,431.6
Cumberland,IL,9.288500836,0,31.9
Cumberland,TN,1.652346332,0,82.3
Cumberland,NJ,0.668775539,0,324.4
Cumberland,NC,0.596109195,0,489.7
Cumberland,KY,15.1194436,0,22.5
Cumberland,VA,10.06846557,0,33.8
Cuming,NE,11.30454443,0,16
Currituck,NC,3.601916219,0,89.9
Curry,NM,2.042733995,0,34.4
Curry,OR,8.724100327,0,13.7
Custer,OK,3.447919181,0,27.8
Custer,ID,23.17497103,0,0.9
Custer,CO,19.73164957,0,5.8
Custer,NE,9.279020135,9.279020135,4.2
Custer,SD,11.14578689,0,5.3
Custer,MT,8.770391159,0,3.1
Cuyahoga,OH,0.242900819,0,2800
Dade,GA,6.205013651,0,95.6
Dakota,MN,0.233088823,0,709
Dakota,NE,9.987016878,0,79.5
Dale,AL,2.033677703,0,89.6
Dallam,TX,13.72306848,0,4.5
Dallas,TX,0.075886468,0,2718
Dallas,IA,1.070056606,0,112.4
Dallas,AL,5.37692225,0,44.8
Dallas,AR,14.26737052,0,12.2
Dallas,MO,5.924872615,0,31
Dane,WI,0.182917349,0,407.7
Danville city,VA,2.497253022,0,1002.8
Dare,NC,2.702045448,0,88.5
Darke,OH,1.956449436,0,88.5
